id,name,transit,host_id,host_name,host_since,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,street,neighbourhood_cleansed,zipcode,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,guests_included,last_review,review_scores_rating,cancellation_policy,reviews_per_month
12147973,Sunny Bungalow in the City,"The bus stop is 2 blocks away, and frequent. Bus is about a 10 minute ride to the Orange line, forest hills. The commuter rail into down town is a 6 minute walk from our home.  Walking is pleasant and restaurants, shops and grocery store are all a 6 minute walk away.",31303940,Virginia,4/15/2015,N/A,N/A,f,Roslindale,"Birch Street, Boston, MA 02131, United States",Roslindale,2131,House,Entire home/apt,4,1.5,2,3,$250.00 ,1,,,moderate,
3075044,Charming room in pet friendly apt,"Plenty of safe street parking. Bus stops a few hundred feet from home. Buses 35, 36, or 37 will take you to the Forest Hills subway station is approximately 10 minutes. The buses are frequent during the week, less frequent during the weekend. However, many more buses leave Roslindale Sq., which is just 5 minutes away. Commuter rail is also down the road: more expensive but will take you downtown (Copley and South Station) in less than 20 minutes. Does not run on Sundays. The station is Roslindale Village on the Needham Heights line.",2572247,Andrea,6/7/2012,100%,100%,f,Roslindale,"Pinehurst Street, Boston, MA 02131, United States",Roslindale,2131,Apartment,Private room,2,1,1,1,$65.00 ,0,8/13/2016,94,moderate,1.3
6976,Mexican Folk Art Haven in Boston,"PUBLIC TRANSPORTATION: From the house, quick public transportation to Forest Hills station (Orange Line and Commuter Rail) is via two nearby MBTA bus lines. The #38 bus stops one-half block away, and takes you past the Faulkner, then to Jamaica Plain and Forest Hills.  The #51 bus stops one block away, and goes a more direct route to Forest Hills. (The bus also goes to Cleveland Circle in Brookline.) Between the two bus lines, there is a bus that stops here every 15 minutes or so on weekdays; but no service on Sunday. ALSO, the apartment is just 1/2 mile walk to the Roslindale Village MBTA commuter rail stop, Needham Line. The train takes you to Ruggles Station at Northeastern Univ., to Back Bay station and to South Station in downtown Boston, in about 15 minutes time.  There are more city busses, running 7 days a week, from this MBTA rail station. You can also pick up ZIP Cars there.  GETTING HERE FROM LOGAN AIRPORT: By public transportation: You take the free shuttle bus at the airpo",16701,Phil,5/11/2009,100%,88%,t,Roslindale,"Ardale St., Boston, MA 02131, United States",Roslindale,2131,Apartment,Private room,2,1,1,1,$65.00 ,1,8/5/2016,98,moderate,0.47
1436513,Spacious Sunny Bedroom Suite in Historic Home,There are buses that stop right in front of the house and down the street. We are a convenient bus ride away from the forest hills MBTA stop which is the subway system in Boston. There's free street parking all around the house should you have a car.,6031442,Meghna,4/21/2013,100%,50%,f,,"Boston, MA, United States",Roslindale,,House,Private room,4,1,1,2,$75.00 ,2,8/28/2016,100,moderate,1
7651065,Come Home to Boston,"From Logan Airport  and South Station you have 3 options to get to my home: 1. Take the airport shuttle to the MBTA. (If you're at South Station, the MBTA is right at the bus station)  Take the MBTA subway to the ""Orange line"" train stop at Forest Hills station (it involves a switch that doesn't cost money).  From there, go to the Washington Street side of the station (not the Hyde Park Avenue side) and get bus #35, 36 or 37.  Get off at the Belgrade Avenue & Walworth Street stop (by 165 Belgrade Avenue).  My home is a 3-minute walk from there.   The MBTA website has a tab ""Rider Tools"" which will give you excellent, detailed routes and times to get anywhere in the city.   2. Take a cab - which usually $35 to 40 from Logan and much less from South Station, unless there is terrible traffic.  3. Or you could follow step #1 to Forest Hills Station, then take a cab from there (they are lined up) to my home (about $5-7). 4. The Silver Line is also an option - you can get their schedule on t",15396970,Linda,5/11/2014,100%,100%,t,Roslindale,"Durnell Avenue, Boston, MA 02131, United States",Roslindale,2131,House,Private room,2,1.5,1,2,$79.00 ,1,9/1/2016,99,flexible,2.25
12386020,Private Bedroom + Great Coffee,"To reach downtown Boston via public transportation takes about 45 minutes. Guests can take the MBTA 51 bus and connect to either the Orange Line at Forest Hills, or the Green Line (D train) at Riverside, depending on where you want to go. In addition, we're a 10-minute walk from the Roslindale Village station on the MBTA Commuter Rail, another option for reaching downtown.",64200298,Deborah,3/23/2016,100%,95%,t,Roslindale,"Walter Street, Boston, MA 02131, United States",Roslindale,2131,Condominium,Private room,2,1,1,1,$75.00 ,1,8/28/2016,100,flexible,1.7
5706985,New Lrg Studio apt 15 min to Boston,The commuter rail (Needham Line) is a 5 minute walk and many bus lines are close also depending where you are going. It is 7.9 miles to downtown Boston (South Station) if you decide to drive or take an UBER or regular cab.,6570877,Juliet,5/25/2013,98%,96%,f,Roslindale,"Kittredge Street, Boston, MA 02131, United States",Roslindale,2131,Apartment,Entire home/apt,3,1,1,2,$100.00 ,1,9/1/2016,90,strict,4
2843445,"""Tranquility"" on ""Top of the Hill""",We are a few minutes walk to public bus service with easy access to downtown and suburbs.,3164508,Marilyn,8/5/2012,100%,100%,t,Roslindale,"Cornell Street, Boston, MA 02131, United States",Roslindale,2131,House,Private room,2,2,1,1,$75.00 ,1,9/4/2016,96,moderate,2.38
753446,6 miles away from downtown Boston!,,3962517,Sami,10/24/2012,100%,100%,t,Roslindale,"Sycamore St, Roslindale, MA 02131, United States",Roslindale,2131,Condominium,Private room,2,1,1,2,$58.00 ,2,8/30/2016,96,moderate,5.36
849408,Perfect & Practical Boston Rental,Plenty of on street parking with no restrictions.  On major bus line.  Subway is 2 miles away and is a nice walk through the Arnold Arboretum or about 10 minutes by bus. The Needham line commuter rail is about a 7-8 minute walk from the house.  It runs on a set schedule Monday through Saturday.  Cab/Uber/Lyft rides from the city center approx $15-25.,4434391,Damon,12/18/2012,100%,100%,t,Roslindale,"Centre Street, Boston, MA 02131, United States",Roslindale,2131,Apartment,Entire home/apt,5,1,2,2,$229.00 ,4,5/27/2016,94,strict,1.01
